SensZ,PinhZ,Found
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
1.0240000486373901,0.7588330841064453,1
1.0230000019073486,0.8220691744486491,1
1.0140000581741333,0.8395600079475565,1
1.0110000371932983,0.876873786078559,1
1.0099999904632568,0.8578113124681556,1
1.0070000886917114,0.8578113124681556,1
1.00600004196167,0.8395600079475565,1
1.0040000677108765,0.8395600079475565,1
1.0049999952316284,0.8578113124681556,1
1.002000093460083,0.8220691744486491,1
1.003000020980835,0.8220691744486491,1
1.00600004196167,0.8395600079475565,1
1.0040000677108765,0.8395600079475565,1
1.0040000677108765,0.8220691744486491,1
1.0040000677108765,0.8395600079475565,1
1.0,0.8395600079475565,1
0.9980000257492065,0.8220691744486491,1
0.9940000176429749,0.8220691744486491,1
0.9910000562667847,0.8220691744486491,1
0.9850000739097595,0.8052922525211257,1
0.9810000658035278,0.8220691744486491,1
0.9810000658035278,0.8220691744486491,1
0.9790000319480896,0.8052922525211257,1
0.9760000705718994,0.8220691744486491,1
0.9730000495910645,0.8052922525211257,1
0.9720000624656677,0.8052922525211257,1
0.9670000672340393,0.7891864074707031,1
0.956000030040741,0.7891864074707031,1
0.9530000686645508,0.7891864074707031,1
0.9510000348091125,0.7588330841064453,1
0.9440000653266907,0.7737121641869639,1
0.937000036239624,0.7588330841064453,1
0.9290000200271606,0.7445154787459464,1
0.9240000247955322,0.7445154787459464,1
0.9180000424385071,0.7588330841064453,1
0.9120000600814819,0.7588330841064453,1
0.906000018119812,0.7588330841064453,1
0.9040000438690186,0.7588330841064453,1
0.8990000486373901,0.7445154787459464,1
0.8980000615119934,0.7445154787459464,1
0.8910000324249268,0.7307281550654658,1
0.89000004529953,0.7046307209559849,1
0.8850000500679016,0.7046307209559849,1
0.8840000629425049,0.7046307209559849,1
0.878000020980835,0.7046307209559849,1
0.8770000338554382,0.6803331098885372,1
0.8710000514984131,0.7046307209559849,1
0.8650000691413879,0.6803331098885372,1
0.8570000529289246,0.6922687784830729,1
0.8540000319480896,0.6922687784830729,1
0.8480000495910645,0.6688020402294095,1
0.843000054359436,0.6803331098885372,1
0.8350000381469727,0.6688020402294095,1
0.8320000171661377,0.6688020402294095,1
0.8290000557899475,0.6576553395589193,1
0.8220000267028809,0.6468741044841829,1
0.8160000443458557,0.6468741044841829,1
0.8110000491142273,0.6364406511860509,1
0.8090000152587891,0.6364406511860509,1
0.8060000538825989,0.6468741044841829,1
0.7990000247955322,0.6468741044841829,1
0.7930000424385071,0.6468741044841829,1
0.7920000553131104,0.6468741044841829,1
0.7880000472068787,0.6468741044841829,1
0.784000039100647,0.6263384186275421,1
0.7800000309944153,0.6263384186275421,1
0.7710000276565552,0.6263384186275421,1
0.7670000195503235,0.6364406511860509,1
0.7560000419616699,0.6263384186275421,1
0.7540000081062317,0.6263384186275421,1
0.7470000386238098,0.6263384186275421,1
0.7430000305175781,0.6364406511860509,1
0.7400000095367432,0.6364406511860509,1
0.7350000143051147,0.6263384186275421,1
0.7310000061988831,0.6263384186275421,1
0.7270000576972961,0.6070664672851562,1
0.7270000576972961,0.5978684905081084,1
0.718000054359436,0.5978684905081084,1
0.7140000462532043,0.5978684905081084,1
0.7050000429153442,0.5978684905081084,1
0.6920000314712524,0.5978684905081084,1
0.675000011920929,0.5978684905081084,1
0.6710000038146973,0.5978684905081084,1
0.6630000472068787,0.5978684905081084,1
0.6570000052452087,0.5978684905081084,1
0.6500000357627869,0.5889450802020173,1
0.6470000147819519,0.5889450802020173,1
0.6430000066757202,0.5802841231402229,1
0.6370000243186951,0.5802841231402229,1
0.6290000081062317,0.5718742083121037,1
0.6230000257492065,0.5802841231402229,1
0.6150000095367432,0.5718742083121037,1
0.6080000400543213,0.5637045767647879,1
0.6010000109672546,0.5637045767647879,1
0.5980000495910645,0.5557650756835938,1
0.5900000333786011,0.5480461162990994,1
0.5820000171661377,0.5480461162990994,1
0.5750000476837158,0.5405386352539062,1
0.5680000185966492,0.5261242716471354,1
0.5610000491142273,0.5261242716471354,1
0.5560000538825989,0.5261242716471354,1
0.550000011920929,0.5124587061498073,1
0.5480000376701355,0.5192015838623046,1
0.5380000472068787,0.5124587061498073,1
0.5360000133514404,0.5192015838623046,1
0.5300000309944153,0.5192015838623046,1
0.5250000357627869,0.5192015838623046,1
0.5230000019073486,0.5058887227376302,1
0.5160000324249268,0.4994850680194324,1
0.5080000162124634,0.4932415046691895,1
0.5,0.48715210337697723,1
0.49400001764297485,0.4812112240675019,1
0.48600003123283386,0.4812112240675019,1
0.4830000102519989,0.46975381397065663,1
0.4710000157356262,0.46975381397065663,1
0.4690000116825104,0.4642272985121783,1
0.4610000252723694,0.45882930666901345,1
0.45500001311302185,0.45882930666901345,1
0.4480000138282776,0.4535554065923581,1
0.44200003147125244,0.44336315026443995,1
0.4390000104904175,0.4384368930392795,1
0.43300002813339233,0.433618905203683,1
0.47050002217292786,0.433618905203683,1
0.42100003361701965,0.4289056562340778,1
0.41700002551078796,0.4242937674573673,1
0.41100001335144043,0.4153612670898438,1
0.45900002121925354,0.40679711725293977,1
0.45000001788139343,0.41103458722432457,1
0.4540000259876251,0.3401665549442686,1
0.4520000219345093,0.33440102011470474,1
0.44200003147125244,0.35548937273455095,1
